Amostra,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1,15652,2304,892,-6391,-350,233
2,16216,-116,3412,-4581,-143,835
3,16144,468,3392,1473,-223,37
4,16176,728,2772,409,403,34
5,16332,584,3148,-584,-133,377
6,16204,556,3068,313,15,181
7,15988,816,3000,-139,36,281
8,19804,-760,948,-17854,686,7341
9,15368,-5048,892,14091,1317,4918
10,15296,424,2940,24575,13782,-2143
11,15424,-244,8648,32767,2599,-2932
12,12400,15600,5288,32767,27837,-32768
13,3640,16928,200,-30430,3913,-19949
14,972,4732,16448,-32768,16781,-14799
15,-7076,-15620,5988,-32768,-24193,-3586
16,-3552,-15380,1252,7070,2249,-10743
17,3116,-14620,3200,32767,-30405,-25704
18,12116,-3576,16888,32767,-5037,-22338
19,10312,-1348,12852,21685,-13199,407
20,11640,2896,13496,14282,1956,4958
21,9700,5256,12328,28564,14392,-2337
22,3928,7044,20068,-9675,32767,-2280
23,-3688,3760,18428,-5510,32767,-7605
24,-9956,832,6524,-18197,20860,-12637
25,-15864,-4040,988,-32768,10636,-17432
26,-9636,-9304,1448,21722,-29303,-26268
27,-1360,-2040,21652,32767,-32768,-20110
28,6876,1852,14560,32767,-26385,2728
29,12504,4820,15708,7741,-3799,32767
30,8616,-4460,18520,-32768,19162,12561
31,12008,-15708,15904,-32768,20496,-9241
32,5420,-12020,-2392,-3384,9822,10289
33,2420,-17172,-2840,15157,29212,2707
34,872,-12996,9984,32767,9086,-25030
35,-1180,8044,12608,32767,23307,5590
36,96,21768,756,3616,21345,8651
37,-3996,9756,12024,-32768,28196,-12824
38,-8300,-8268,788,-25830,263,-10039
39,-9040,-11892,6676,-32768,9879,-2390
40,-8040,-9372,3744,32767,-9921,-588
41,5460,1052,18048,32767,-32768,-3996
42,12464,4860,16800,32767,-18280,15892
43,11596,9348,10540,25837,2697,-6789
44,10364,12116,2576,21932,5426,-6842
45,10052,6224,8048,-32768,7352,-21257
46,3740,3552,12844,-32768,23779,-12387
47,-3360,-10340,11444,-32768,10678,6758
48,-2644,-14452,3352,-32483,-18475,4365
49,816,-13192,3256,32767,183,-26326
50,7500,-972,18844,32767,-12197,-2207
51,10596,9228,11852,32767,-4481,5569
52,11824,12612,9448,-366,19886,-14346
53,7572,8616,9940,-3480,24255,-8285
54,-1264,4244,15100,-32768,11100,-26932
55,-5276,-8696,14916,-32768,7000,-9543
56,-4808,-14824,2640,-20425,-7727,-866
57,-5784,-15408,1812,32767,-9256,-17127
58,5492,-3092,12532,32767,-17818,-4551
59,7276,5936,16224,25401,-11060,10118
60,12780,12488,12956,7036,-1792,16729
61,14756,8584,9788,-4677,8680,6396
62,9272,9040,9816,12788,24457,-4726
63,1472,6632,12176,7317,27133,-14551
64,-1340,2136,12500,-32768,15422,-32768
65,-8788,-7488,11940,-31804,-8130,-17071
66,-3912,-12552,8964,-29878,-18510,3796
67,-3780,-15552,12132,32767,-9576,-10414
68,2464,2096,18368,32767,-6110,-11672
69,1328,8828,17676,29951,11117,-1016
70,2856,12984,8736,14156,3702,-10547
71,-856,18656,12704,-32768,14344,-900
72,-4976,4148,14304,-26091,16882,-8894
73,-7920,-5940,8256,-32768,2394,117
74,-11972,-13680,9548,-24884,-20116,4661
75,-5500,-9252,15236,32767,-11979,-16319
76,-2860,-3120,14532,32767,-17433,-10915
77,-152,7120,18544,28331,950,15595
78,2108,14744,11708,15266,3135,-1513
79,-408,17608,11440,-32768,24107,-5829
80,-7832,2376,14504,-19924,25461,-2866
81,-12404,-320,7864,-6385,22246,-10674
82,-12064,-3992,5032,-5833,-16854,-14884
83,-9736,-4648,11244,7650,-26904,-5428
84,-3080,-1764,16040,17878,-27899,8015
85,1636,1080,16012,20324,-14500,14520
86,4016,3972,17144,8084,8440,14418
87,124,9336,15788,16384,7044,-2324
88,-1752,12204,13548,-23380,10233,-20099
89,-5508,2240,14076,-25406,8388,-12728
90,-6164,-6408,15124,-27756,-8724,-3937
91,-6452,-10916,9012,8090,-5940,-10055
92,-1900,-4720,15088,32767,-26408,-1129
93,4756,3092,16312,28256,-8356,20048
94,5864,6844,15696,11794,13081,19007
95,3184,8676,18236,-20668,28942,-9439
96,-3044,-40,18024,-19112,19020,-10748
97,-6128,-3632,15140,-2895,11219,-6651
98,-6008,-4688,12040,17753,3377,-7087
99,-8556,-7144,11900,7004,-12621,-1309
